region,city_tier,preferred_channel,loyalty_tier,income_band,customer_segment_seed,is_marketing_opt_in,total_orders,total_net_revenue,avg_order_value,total_discount_amount,avg_basket_size,tenure_days,revenue_per_order,online_order_share,store_order_share,total_units,avg_item_discount_pct,avg_item_margin,total_returns,total_refund_amount,avg_days_to_return,return_rate_per_unit,total_sessions,avg_session_minutes,avg_pages_viewed,sessions_add_to_cart,sessions_with_purchase,campaigns_targeted,campaigns_treatment,campaigns_converted_30d,campaign_revenue_30d,customer_value_band,spend_rank_in_region,actual_churn,score_churn_proba,rank
Central,Tier_1,online,gold,high,one_time,True,1.0,66.57,66.57,11.34,1.0,873,66.57,1.0,0.0,1.0,0.1455,30.98,0.0,,,0.0,3.0,32.333333333333336,4.0,1.0,0.0,1.0,1.0,0.0,0.0,low_value,8578,1,0.9613468327920196,11
South,Tier_2,store,bronze,upper_mid,one_time,True,1.0,174.03,174.03,38.07,3.0,711,174.03,0.0,1.0,3.0,0.1877,18.726666666666667,0.0,,,0.0,6.0,39.333333333333336,3.333333333333333,3.0,0.0,1.0,1.0,0.0,0.0,low_value,8148,1,0.9608167314990037,12
South,Tier_2,online,,upper_mid,one_time,False,1.0,20.86,20.86,6.79,1.0,880,20.86,1.0,0.0,1.0,0.2454,5.21,0.0,,,0.0,6.0,42.5,4.0,3.0,1.0,1.0,1.0,1.0,81.52,low_value,9102,1,0.9594966661876418,13
South,Tier_2,store,gold,mid,one_time,False,1.0,140.44,140.44,25.79,3.0,726,140.44,0.0,1.0,3.0,0.1566333333333333,12.196666666666667,0.0,,,0.0,1.0,7.0,4.0,1.0,0.0,,,,,low_value,8353,1,0.9591811663716291,14
East,Tier_1,store,,mid,one_time,True,1.0,118.85,118.85,20.67,2.0,942,118.85,1.0,0.0,2.0,0.15365,20.085,0.0,,,0.0,4.0,75.5,4.5,2.0,1.0,2.0,1.0,0.0,0.0,low_value,8992,1,0.9590617875977229,15
North,Tier_1,store,,upper_mid,one_time,False,1.0,41.03,41.03,4.73,1.0,771,41.03,1.0,0.0,1.0,0.1033,7.6,0.0,,,0.0,2.0,82.0,7.0,1.0,1.0,,,,,low_value,8239,1,0.959035499223666,16
Central,Tier_3,store,,mid,one_time,False,1.0,43.89,43.89,9.95,1.0,976,43.89,1.0,0.0,1.0,0.1849,13.68,0.0,,,0.0,6.0,46.66666666666666,4.0,2.0,1.0,,,,,low_value,8705,1,0.9578000339159325,17
North,Tier_1,online,,mid,one_time,True,1.0,178.48,178.48,31.3,2.0,354,178.48,1.0,0.0,2.0,0.1485,29.71,0.0,,,0.0,8.0,27.125,4.5,1.0,0.0,,,,,low_value,7450,1,0.9575469425731216,18
Central,Tier_1,online,,upper_mid,one_time,True,1.0,125.51,125.51,8.89,3.0,804,125.51,1.0,0.0,3.0,0.0751666666666666,17.896666666666665,0.0,,,0.0,3.0,32.666666666666664,4.333333333333333,1.0,0.0,1.0,1.0,0.0,0.0,low_value,8201,1,0.9562703905918472,19
North,Tier_2,store,,mid,one_time,True,1.0,136.45,136.45,18.1,3.0,1049,136.45,1.0,0.0,3.0,0.1267,16.443333333333335,1.0,32.98,28.0,0.3333333333333333,2.0,52.0,4.5,1.0,1.0,1.0,1.0,1.0,45.42,low_value,7698,1,0.9552996145784672,20
East,Tier_1,store,,low,one_time,False,1.0,159.13,159.13,30.89,2.0,596,159.13,0.0,1.0,2.0,0.18135,32.97,0.0,,,0.0,4.0,19.25,3.25,0.0,0.0,,,,,low_value,8736,1,0.9552067157159262,21
Central,Tier_3,online,bronze,low,one_time,True,1.0,35.82,35.82,9.74,2.0,702,35.82,1.0,0.0,2.0,0.1961,5.29,0.0,,,0.0,4.0,39.5,4.5,1.0,1.0,1.0,1.0,0.0,0.0,low_value,8760,1,0.9547118398077692,22
East,Tier_1,online,,mid,one_time,True,1.0,67.72,67.72,11.12,2.0,318,67.72,1.0,0.0,2.0,0.1306,12.21,0.0,,,0.0,5.0,59.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,low_value,9309,1,0.9545475769669385,23
East,Tier_1,store,silver,mid,one_time,True,1.0,87.78,87.78,12.69,1.0,698,87.78,1.0,0.0,1.0,0.1263,25.57,1.0,75.74,16.0,1.0,4.0,36.25,3.75,1.0,0.0,,,,,low_value,9193,1,0.9544324681384517,24
South,Tier_1,online,bronze,upper_mid,one_time,True,1.0,133.54,133.54,20.73,3.0,747,133.54,1.0,0.0,3.0,0.1293333333333333,16.236666666666668,1.0,52.28,15.0,0.3333333333333333,5.0,63.2,4.8,2.0,1.0,1.0,1.0,0.0,0.0,low_value,8397,1,0.9524531525450748,25
West,Tier_2,store,,mid,at_risk,True,1.0,38.74,38.74,8.35,1.0,1216,38.74,0.0,1.0,1.0,0.1774,13.66,0.0,,,0.0,2.0,49.0,4.0,1.0,0.0,1.0,1.0,1.0,52.15,low_value,7713,1,0.9514291863774121,26
North,Tier_3,store,bronze,mid,one_time,False,1.0,94.72,94.72,7.08,1.0,1187,94.72,0.0,1.0,1.0,0.0696,51.91,0.0,,,0.0,8.0,34.0,4.125,2.0,0.0,,,,,low_value,7927,1,0.9514234534644129,27
East,Tier_2,online,,mid,one_time,True,1.0,122.79,122.79,22.89,2.0,511,122.79,1.0,0.0,2.0,0.13955,22.94,1.0,71.0,37.0,0.5,7.0,28.285714285714285,6.0,3.0,1.0,1.0,1.0,0.0,0.0,low_value,8965,1,0.9498979441554716,28
East,Tier_3,online,,low,one_time,True,1.0,31.91,31.91,3.38,1.0,269,31.91,1.0,0.0,1.0,0.0957,7.41,0.0,,,0.0,4.0,42.75,4.25,2.0,1.0,,,,,low_value,9543,1,0.9497277283455777,29
South,Tier_2,online,,upper_mid,one_time,True,1.0,276.32,276.32,31.93,1.0,976,276.32,1.0,0.0,1.0,0.1036,121.1,0.0,,,0.0,3.0,67.33333333333333,4.0,2.0,1.0,1.0,1.0,0.0,0.0,low_value,7554,1,0.948601468117674,30
West,Tier_2,online,,low,one_time,False,1.0,170.76,170.76,21.84,2.0,960,170.76,0.0,1.0,2.0,0.1212,33.635000000000005,0.0,,,0.0,5.0,22.0,4.4,0.0,0.0,,,,,low_value,7004,1,0.9483337392307196,31
West,Tier_2,store,,mid,one_time,True,1.0,20.03,20.03,3.86,1.0,448,20.03,1.0,0.0,1.0,0.1614,7.77,0.0,,,0.0,5.0,26.0,5.0,4.0,1.0,2.0,2.0,1.0,50.15,low_value,7821,1,0.9472373741032953,32
North,Tier_3,online,,mid,one_time,True,1.0,77.42,77.42,17.26,1.0,443,77.42,1.0,0.0,1.0,0.1823,36.88,0.0,,,0.0,7.0,30.0,4.857142857142857,2.0,1.0,1.0,0.0,0.0,0.0,low_value,8031,1,0.9470709420660423,33
South,Tier_3,store,,mid,one_time,False,1.0,24.48,24.48,2.41,2.0,687,24.48,0.0,1.0,2.0,0.0858,4.445,0.0,,,0.0,4.0,33.5,4.25,1.0,0.0,,,,,low_value,9081,1,0.9469704570012584,34
North,Tier_3,online,,upper_mid,one_time,True,1.0,57.68,57.68,9.58,1.0,596,57.68,1.0,0.0,1.0,0.1424,16.42,0.0,,,0.0,2.0,17.0,6.5,0.0,0.0,,,,,low_value,8142,1,0.946758255064302,35
West,Tier_3,online,,mid,one_time,True,1.0,148.83,148.83,17.31,1.0,1237,148.83,0.0,1.0,1.0,0.1042,43.48,0.0,,,0.0,1.0,16.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,low_value,7114,1,0.9460258469694781,36
East,Tier_1,store,,low,one_time,True,1.0,26.52,26.52,4.82,1.0,1225,26.52,0.0,1.0,1.0,0.1537,12.97,0.0,,,0.0,5.0,26.4,4.2,1.0,0.0,2.0,2.0,0.0,0.0,low_value,9583,1,0.9445146575167475,37
West,Tier_2,online,,low,one_time,False,1.0,122.58,122.58,12.59,2.0,836,122.58,1.0,0.0,2.0,0.09185,20.59,0.0,,,0.0,7.0,28.0,3.2857142857142856,6.0,1.0,,,,,low_value,7261,0,0.9433130188595302,38
Central,Tier_1,online,,low,one_time,True,1.0,159.12,159.12,36.92,1.0,1163,159.12,0.0,1.0,1.0,0.1883,60.17,0.0,,,0.0,2.0,38.0,4.0,0.0,0.0,,,,,low_value,7980,1,0.9424206095725878,39
South,Tier_1,store,,mid,one_time,False,1.0,40.09,40.09,11.84,1.0,817,40.09,1.0,0.0,1.0,0.228,13.68,0.0,,,0.0,3.0,35.0,4.666666666666667,0.0,0.0,1.0,1.0,0.0,0.0,low_value,8968,1,0.9422722729185534,40
Central,Tier_2,store,,mid,one_time,False,1.0,75.82,75.82,24.75,3.0,778,75.82,1.0,0.0,3.0,0.2054333333333333,8.096666666666666,0.0,,,0.0,6.0,45.5,6.166666666666667,2.0,1.0,1.0,1.0,0.0,0.0,low_value,8531,1,0.940916108403281,41
South,Tier_2,store,,upper_mid,one_time,True,1.0,63.3,63.3,12.0,1.0,351,63.3,0.0,1.0,3.0,0.1594,16.92,0.0,,,0.0,3.0,34.666666666666664,3.6666666666666665,1.0,0.0,,,,,low_value,8829,1,0.9400660588018614,42
North,Tier_2,online,,upper_mid,one_time,False,1.0,22.95,22.95,5.36,1.0,697,22.95,1.0,0.0,1.0,0.1895,4.48,0.0,,,0.0,5.0,58.0,5.8,2.0,1.0,,,,,low_value,8347,1,0.9391974782070743,43
Central,Tier_1,store,bronze,mid,one_time,True,1.0,83.86,83.86,13.81,3.0,928,83.86,0.0,1.0,3.0,0.1408333333333333,8.566666666666666,0.0,,,0.0,1.0,2.0,4.0,0.0,0.0,2.0,1.0,1.0,39.01,low_value,8467,0,0.9363893683058905,44
South,Tier_2,online,,upper_mid,one_time,True,1.0,50.89,50.89,16.73,1.0,687,50.89,1.0,0.0,1.0,0.2475,17.37,1.0,50.89,28.0,1.0,5.0,55.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,low_value,8904,1,0.934445125871557,45
South,Tier_2,store,,upper_mid,one_time,False,1.0,18.65,18.65,6.66,1.0,962,18.65,0.0,1.0,1.0,0.263,2.8,0.0,,,0.0,2.0,13.5,4.5,0.0,0.0,1.0,1.0,0.0,0.0,low_value,9117,1,0.9338293181074379,46
South,Tier_2,online,,low,at_risk,False,1.0,152.22,152.22,22.67,2.0,1250,152.22,0.0,1.0,4.0,0.131,23.345,0.0,,,0.0,2.0,26.5,4.5,0.0,0.0,,,,,low_value,8269,1,0.9329839241577365,47
East,Tier_2,online,,upper_mid,one_time,True,1.0,92.45,92.45,17.46,1.0,413,92.45,1.0,0.0,1.0,0.1589,25.82,0.0,,,0.0,3.0,89.33333333333333,6.0,2.0,1.0,1.0,1.0,1.0,72.9,low_value,9172,1,0.9328207897992797,48
South,Tier_1,store,,mid,one_time,False,1.0,78.7,78.7,16.89,2.0,751,78.7,1.0,0.0,2.0,0.1755,8.95,0.0,,,0.0,3.0,90.66666666666669,4.0,1.0,1.0,,,,,low_value,8731,1,0.9327069915849197,49
Central,Tier_2,store,,upper_mid,one_time,True,1.0,33.76,33.76,6.8,1.0,807,33.76,1.0,0.0,1.0,0.1678,7.04,0.0,,,0.0,3.0,60.66666666666666,5.666666666666667,1.0,1.0,2.0,2.0,0.0,0.0,low_value,8779,1,0.9322633595472989,50
East,Tier_3,store,,mid,one_time,False,1.0,63.22,63.22,15.23,1.0,525,63.22,0.0,1.0,1.0,0.1942,8.19,0.0,,,0.0,2.0,31.5,4.5,0.0,0.0,,,,,low_value,9338,0,0.9321845732023953,51
Central,Tier_2,online,,high,one_time,False,1.0,8.35,8.35,2.18,1.0,816,8.35,1.0,0.0,1.0,0.2073,1.66,0.0,,,0.0,3.0,64.33333333333333,6.666666666666667,1.0,1.0,1.0,1.0,0.0,0.0,low_value,8906,1,0.9319198794716084,52
South,Tier_2,online,,upper_mid,one_time,False,1.0,69.48,69.48,19.26,2.0,351,69.48,1.0,0.0,2.0,0.1998,11.615,0.0,,,0.0,4.0,12.75,5.0,1.0,1.0,,,,,low_value,8785,1,0.9315137854992335,53
Central,Tier_2,online,,mid,one_time,False,1.0,16.27,16.27,4.17,1.0,990,16.27,1.0,0.0,1.0,0.2042,6.77,0.0,,,0.0,4.0,49.0,6.0,1.0,1.0,,,,,low_value,8879,1,0.9296746856677928,54
East,Tier_3,store,bronze,low,one_time,False,1.0,62.83,62.83,3.52,2.0,725,62.83,0.0,1.0,2.0,0.0529,12.69,1.0,41.93,3.0,0.5,2.0,26.5,4.0,1.0,0.0,,,,,low_value,9346,1,0.9289974449065745,55
South,Tier_1,store,silver,mid,one_time,True,1.0,40.21,40.21,8.05,1.0,592,40.21,1.0,0.0,1.0,0.1669,14.3,0.0,,,0.0,5.0,18.4,4.6,1.0,1.0,,,,,low_value,8966,1,0.9286297950339731,56
North,Tier_2,online,,mid,one_time,True,1.0,69.0,69.0,14.6,1.0,1157,69.0,1.0,0.0,1.0,0.1746,16.59,0.0,,,0.0,6.0,28.33333333333333,3.0,0.0,0.0,1.0,0.0,0.0,0.0,low_value,8080,1,0.9275011658887442,57
North,Tier_1,online,,mid,one_time,False,1.0,30.22,30.22,5.26,1.0,770,30.22,0.0,1.0,1.0,0.1483,9.64,0.0,,,0.0,3.0,25.0,3.6666666666666665,1.0,0.0,,,,,low_value,8303,1,0.9274601816988012,58
Central,Tier_2,online,,upper_mid,at_risk,True,1.0,118.48,118.48,17.89,2.0,881,118.48,0.0,1.0,2.0,0.15055,14.45,0.0,,,0.0,2.0,26.0,2.5,0.0,0.0,1.0,1.0,1.0,49.72,low_value,8240,1,0.9273636875286304,59
South,Tier_2,online,,mid,one_time,True,1.0,31.86,31.86,5.23,1.0,473,31.86,0.0,1.0,1.0,0.1409,9.44,0.0,,,0.0,1.0,11.0,4.0,0.0,0.0,,,,,low_value,9029,1,0.9272600045177635,60
East,Tier_2,online,,mid,one_time,True,1.0,47.29,47.29,5.61,1.0,989,47.29,1.0,0.0,1.0,0.106,16.58,0.0,,,0.0,3.0,18.666666666666668,4.666666666666667,1.0,1.0,1.0,0.0,0.0,0.0,low_value,9443,1,0.926836014012534,61
West,Tier_3,store,,low,one_time,False,1.0,127.85,127.85,28.24,2.0,973,127.85,0.0,1.0,2.0,0.17935,15.165,1.0,75.63,18.0,0.5,5.0,35.0,3.0,2.0,0.0,,,,,low_value,7233,1,0.9246322200550265,62
South,Tier_1,store,,high,at_risk,True,1.0,33.93,33.93,6.75,1.0,1094,33.93,1.0,0.0,1.0,0.1659,8.62,0.0,,,0.0,5.0,19.0,5.4,1.0,1.0,1.0,1.0,0.0,0.0,low_value,9016,1,0.9243209255084252,63
West,Tier_2,online,bronze,mid,one_time,True,1.0,120.33,120.33,32.81,1.0,713,120.33,1.0,0.0,1.0,0.2143,51.38,0.0,,,0.0,6.0,26.5,5.0,2.0,1.0,2.0,1.0,0.0,0.0,low_value,7271,1,0.9199396244761789,64
West,Tier_2,store,,low,one_time,True,1.0,38.47,38.47,9.49,1.0,699,38.47,0.0,1.0,1.0,0.1978,6.45,0.0,,,0.0,4.0,39.25,4.75,2.0,0.0,2.0,2.0,1.0,44.32,low_value,7716,1,0.9193002208362385,65
West,Tier_1,online,,mid,one_time,True,1.0,48.05,48.05,4.47,1.0,709,48.05,0.0,1.0,4.0,0.085,12.01,0.0,,,0.0,3.0,23.666666666666668,5.333333333333333,1.0,0.0,2.0,2.0,0.0,0.0,low_value,7669,1,0.9190751020589901,66
South,Tier_2,online,silver,mid,at_risk,True,1.0,43.63,43.63,12.31,1.0,1048,43.63,1.0,0.0,1.0,0.22,10.38,0.0,,,0.0,3.0,63.0,4.333333333333333,2.0,1.0,1.0,1.0,0.0,0.0,low_value,8946,0,0.9181152386034235,67
West,Tier_2,store,,mid,one_time,True,1.0,45.07,45.07,4.94,1.0,950,45.07,0.0,1.0,3.0,0.0988,15.94,1.0,41.66,20.0,0.3333333333333333,6.0,26.83333333333333,3.6666666666666665,0.0,0.0,2.0,2.0,0.0,0.0,low_value,7688,1,0.9180028989842479,68
South,Tier_3,store,,mid,at_risk,False,1.0,22.18,22.18,4.7,1.0,650,22.18,0.0,1.0,1.0,0.175,5.16,0.0,,,0.0,4.0,10.5,5.0,1.0,0.0,1.0,1.0,1.0,55.6,low_value,9097,1,0.9158865996848058,69
North,Tier_1,online,,high,one_time,False,1.0,115.8,115.8,26.62,3.0,393,115.8,1.0,0.0,3.0,0.1931333333333333,12.176666666666668,1.0,34.95,29.0,0.3333333333333333,5.0,69.8,3.0,2.0,1.0,1.0,1.0,0.0,0.0,low_value,7809,1,0.915438766451877,70
South,Tier_3,online,,low,at_risk,True,1.0,37.45,37.45,8.8,1.0,386,37.45,1.0,0.0,1.0,0.1902,4.29,0.0,,,0.0,4.0,63.0,4.5,1.0,1.0,,,,,low_value,8988,1,0.9139413723748326,71
North,Tier_1,online,bronze,mid,at_risk,True,1.0,35.37,35.37,9.5,1.0,848,35.37,0.0,1.0,1.0,0.2118,7.44,0.0,,,0.0,5.0,25.6,4.0,1.0,0.0,2.0,1.0,0.0,0.0,low_value,8271,1,0.9133459600689465,72
East,Tier_2,store,,low,one_time,True,1.0,163.81,163.81,48.6,3.0,1241,163.81,1.0,0.0,3.0,0.2216666666666666,14.993333333333334,0.0,,,0.0,7.0,26.0,3.857142857142857,4.0,0.0,1.0,1.0,0.0,0.0,low_value,8706,1,0.9118270488256656,73
Central,Tier_1,store,bronze,mid,at_risk,False,2.0,54.22,27.11,9.14,1.0,593,27.11,0.0,1.0,2.0,0.1436,8.51,0.0,,,0.0,3.0,31.33333333333333,4.666666666666667,1.0,0.0,1.0,1.0,0.0,0.0,low_value,8647,0,0.9104353318969473,74
North,Tier_1,online,,low,one_time,False,1.0,147.21,147.21,29.35,3.0,612,147.21,0.0,1.0,3.0,0.1618333333333333,14.816666666666668,2.0,113.04,13.0,0.6666666666666666,4.0,31.0,3.75,2.0,0.0,,,,,low_value,7635,1,0.9104079087901308,75
Central,Tier_3,store,platinum,mid,at_risk,False,1.0,81.4,81.4,17.44,2.0,651,81.4,1.0,0.0,2.0,0.1755,17.45,0.0,,,0.0,7.0,25.714285714285715,3.7142857142857135,2.0,1.0,,,,,low_value,8486,0,0.9093442164469697,76
West,Tier_1,online,,high,one_time,True,1.0,72.97,72.97,8.49,1.0,291,72.97,1.0,0.0,1.0,0.1042,38.5,1.0,71.83,37.0,1.0,6.0,22.83333333333333,4.833333333333333,1.0,0.0,,,,,low_value,7531,1,0.9086837763697909,77
West,Tier_3,store,,mid,one_time,True,2.0,90.02000000000001,45.010000000000005,9.99,1.0,466,45.010000000000005,0.5,0.5,2.0,0.1006,18.21,0.0,,,0.0,3.0,64.33333333333333,4.333333333333333,1.0,1.0,,,,,low_value,7425,1,0.908127519814265,78
Central,Tier_2,store,,high,at_risk,False,1.0,60.91,60.91,21.02,1.0,570,60.91,0.0,1.0,1.0,0.2566,23.41,0.0,,,0.0,5.0,20.2,3.8,1.0,0.0,1.0,1.0,0.0,0.0,low_value,8611,1,0.9080085909090058,79
South,Tier_3,online,,mid,one_time,False,1.0,247.2,247.2,32.76,2.0,274,247.2,1.0,0.0,2.0,0.1187,65.5,0.0,,,0.0,6.0,47.333333333333336,5.0,1.0,1.0,,,,,low_value,7722,1,0.9068246135186898,80
South,Tier_3,online,silver,mid,one_time,False,2.0,118.92,59.46,16.64,1.0,622,59.46,0.5,0.5,4.0,0.1305,23.075,0.0,,,0.0,4.0,52.25,4.25,2.0,1.0,,,,,low_value,8497,0,0.9062551016390867,81
West,Tier_2,online,,mid,one_time,False,1.0,85.65,85.65,25.61,2.0,519,85.65,1.0,0.0,2.0,0.24395,14.765,1.0,63.2,27.0,0.5,7.0,57.285714285714285,4.428571428571429,3.0,1.0,,,,,low_value,7449,1,0.9060657225906549,82
East,Tier_3,store,,mid,one_time,True,1.0,17.94,17.94,2.72,1.0,361,17.94,0.0,1.0,1.0,0.1317,5.85,1.0,17.65,26.0,1.0,5.0,25.0,3.6,1.0,0.0,,,,,low_value,9641,0,0.9053997538816334,83
West,Tier_1,store,,upper_mid,one_time,False,1.0,82.13,82.13,20.62,1.0,419,82.13,0.0,1.0,1.0,0.2007,12.93,0.0,,,0.0,4.0,12.25,3.25,1.0,0.0,,,,,low_value,7475,1,0.9051065971776301,84
West,Tier_1,store,,mid,at_risk,False,1.0,82.2,82.2,21.79,2.0,991,82.2,1.0,0.0,2.0,0.2102,14.795,0.0,,,0.0,3.0,47.66666666666666,4.0,1.0,1.0,,,,,low_value,7474,1,0.9047426921011223,85
Central,Tier_3,online,,low,one_time,True,1.0,26.86,26.86,9.29,1.0,262,26.86,1.0,0.0,1.0,0.2569,5.96,0.0,,,0.0,5.0,46.2,4.4,3.0,1.0,,,,,low_value,8824,1,0.9035831506327368,86
East,Tier_3,online,silver,mid,at_risk,True,1.0,105.22,105.22,21.37,1.0,363,105.22,1.0,0.0,1.0,0.1688,28.95,0.0,,,0.0,6.0,52.0,4.5,1.0,1.0,1.0,1.0,0.0,0.0,low_value,9092,1,0.9025536908946092,87
South,Tier_3,online,gold,mid,at_risk,True,1.0,45.0,45.0,8.31,3.0,808,45.0,1.0,0.0,3.0,0.1531,5.586666666666666,0.0,,,0.0,8.0,53.0,4.75,1.0,1.0,1.0,1.0,0.0,0.0,low_value,8943,1,0.9020629954602145,88
West,Tier_3,online,bronze,upper_mid,one_time,True,1.0,26.55,26.55,9.76,1.0,1189,26.55,1.0,0.0,1.0,0.2688,5.84,0.0,,,0.0,3.0,21.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,low_value,7781,0,0.901647867368514,89
Central,Tier_3,online,bronze,mid,at_risk,False,1.0,167.84,167.84,32.83,4.0,765,167.84,1.0,0.0,4.0,0.164075,11.284999999999998,0.0,,,0.0,3.0,88.0,5.0,1.0,1.0,,,,,low_value,7927,1,0.9015122340651905,90
North,Tier_1,store,,mid,one_time,False,1.0,148.38,148.38,42.39,4.0,1148,148.38,1.0,0.0,4.0,0.2124249999999999,7.26,0.0,,,0.0,5.0,38.4,4.4,2.0,1.0,1.0,1.0,0.0,0.0,low_value,7631,1,0.9012931068428921,91
Central,Tier_3,online,,mid,one_time,True,1.0,47.54,47.54,13.03,2.0,364,47.54,1.0,0.0,2.0,0.2116,3.605,1.0,30.84,28.0,0.5,5.0,39.2,5.2,2.0,1.0,1.0,1.0,0.0,0.0,low_value,8686,1,0.9010150083536446,92
Central,Tier_3,online,,mid,at_risk,False,2.0,85.47999999999999,42.74,23.62,1.0,916,42.74,1.0,0.0,2.0,0.2165,10.35,0.0,,,0.0,6.0,52.16666666666666,5.0,3.0,2.0,1.0,1.0,0.0,0.0,low_value,8458,1,0.899482710972542,93
North,Tier_2,store,,upper_mid,at_risk,False,1.0,24.88,24.88,7.86,1.0,995,24.88,1.0,0.0,1.0,0.2402,6.69,0.0,,,0.0,7.0,48.0,4.0,1.0,1.0,,,,,low_value,8331,1,0.8982856052821588,94
South,Tier_2,store,,mid,at_risk,True,1.0,15.41,15.41,6.73,1.0,603,15.41,1.0,0.0,1.0,0.3039,2.8,0.0,,,0.0,3.0,41.0,4.666666666666667,2.0,0.0,1.0,1.0,0.0,0.0,low_value,9134,1,0.8969202666167702,95
West,Tier_2,online,bronze,upper_mid,one_time,True,1.0,139.43,139.43,34.46,1.0,1209,139.43,0.0,1.0,1.0,0.1982,38.84,0.0,,,0.0,2.0,31.5,2.5,0.0,0.0,,,,,low_value,7172,1,0.8968249740243885,96
East,Tier_2,online,,mid,at_risk,False,1.0,104.74,104.74,5.42,1.0,218,104.74,0.0,1.0,1.0,0.0492,40.83,0.0,,,0.0,6.0,23.83333333333333,4.166666666666667,1.0,0.0,,,,,low_value,9095,1,0.8967428360509409,97
North,Tier_1,store,,mid,at_risk,True,2.0,164.82,82.41,32.12,1.0,754,82.41,0.0,1.0,2.0,0.1672,17.52,1.0,99.06,24.0,0.5,4.0,28.5,2.75,2.0,0.0,1.0,1.0,0.0,0.0,low_value,7516,1,0.8965183801442,98
North,Tier_3,store,,mid,at_risk,True,2.0,158.57,79.285,46.46,1.5,885,79.285,0.5,0.5,3.0,0.2060333333333333,13.03,0.0,,,0.0,3.0,71.66666666666667,5.333333333333333,2.0,1.0,1.0,1.0,0.0,0.0,low_value,7557,1,0.8961847302575981,99
East,Tier_3,store,,upper_mid,at_risk,True,1.0,84.14,84.14,20.22,2.0,1010,84.14,0.0,1.0,3.0,0.2018,18.18,0.0,,,0.0,3.0,16.666666666666668,6.0,1.0,0.0,2.0,1.0,0.0,0.0,low_value,9202,1,0.8959384110378692,100
